mV','seconds'
-0.025,3.26
-0.025,3.262
-0.025,3.264
-0.025,3.266
-0.025,3.268
-0.025,3.27
-0.02,3.272
-0.025,3.274
-0.025,3.276
-0.025,3.278
-0.025,3.28
-0.02,3.282
-0.02,3.284
-0.015,3.286
-0.015,3.288
-0.01,3.29
-0.01,3.292
-0.005,3.294
-0.005,3.296
-0.005,3.298
-0.005,3.3
-0.01,3.302
-0.01,3.304
-0.01,3.306
-0.005,3.308
-0.01,3.31
-0.01,3.312
-0.01,3.314
-0.01,3.316
-0.01,3.318
-0.01,3.32
-0.01,3.322
-0.01,3.324
-0.005,3.326
0,3.328
0.005,3.33
0.01,3.332
0.015,3.334
0.015,3.336
0.02,3.338
0.02,3.34
0.025,3.342
0.025,3.344
0.03,3.346
0.035,3.348
0.04,3.35
0.05,3.352
0.055,3.354
0.06,3.356
0.06,3.358
0.065,3.36
0.065,3.362
0.065,3.364
0.065,3.366
0.065,3.368
0.07,3.37
0.075,3.372
0.085,3.374
0.09,3.376
0.095,3.378
0.105,3.38
0.11,3.382
0.115,3.384
0.12,3.386
0.125,3.388
0.13,3.39
0.135,3.392
0.145,3.394
0.15,3.396
0.16,3.398
0.165,3.4
0.175,3.402
0.18,3.404
0.185,3.406
0.185,3.408
0.19,3.41
0.195,3.412
0.195,3.414
0.2,3.416
0.205,3.418
0.21,3.42
0.21,3.422
0.215,3.424
0.22,3.426
0.225,3.428
0.225,3.43
0.225,3.432
0.22,3.434
0.215,3.436
0.205,3.438
0.195,3.44
0.18,3.442
0.17,3.444
0.155,3.446
0.145,3.448
0.14,3.45
0.135,3.452
0.135,3.454
0.135,3.456
0.135,3.458
0.13,3.46
0.125,3.462
0.115,3.464
0.1,3.466
0.08,3.468
0.065,3.47
0.045,3.472
0.03,3.474
0.02,3.476
0.015,3.478
0.015,3.48
0.015,3.482
0.015,3.484
0.015,3.486
0.015,3.488
0.01,3.49
0,3.492
-0.005,3.494
-0.015,3.496
-0.025,3.498
-0.025,3.5
-0.03,3.502
-0.03,3.504
-0.03,3.506
-0.03,3.508
-0.03,3.51
-0.03,3.512
-0.03,3.514
-0.035,3.516
-0.035,3.518
-0.04,3.52
-0.045,3.522
-0.05,3.524
-0.05,3.526
-0.05,3.528
-0.05,3.53
-0.05,3.532
-0.05,3.534
-0.045,3.536
-0.045,3.538
-0.045,3.54
-0.05,3.542
-0.05,3.544
-0.055,3.546
-0.055,3.548
-0.055,3.55
-0.055,3.552
-0.055,3.554
-0.05,3.556
-0.05,3.558
-0.045,3.56
-0.04,3.562
-0.035,3.564
-0.03,3.566
-0.03,3.568
-0.035,3.57
-0.04,3.572
-0.045,3.574
-0.05,3.576
-0.055,3.578
-0.06,3.58
-0.06,3.582
-0.065,3.584
-0.065,3.586
-0.065,3.588
-0.065,3.59
-0.06,3.592
-0.055,3.594
-0.05,3.596
-0.05,3.598
-0.045,3.6
-0.045,3.602
-0.045,3.604
-0.045,3.606
-0.05,3.608
-0.05,3.61
-0.055,3.612
-0.055,3.614
-0.055,3.616
-0.055,3.618
-0.05,3.62
-0.04,3.622
-0.03,3.624
-0.025,3.626
-0.02,3.628
-0.015,3.63
-0.015,3.632
-0.02,3.634
-0.025,3.636
-0.03,3.638
-0.04,3.64
-0.045,3.642
-0.045,3.644
-0.045,3.646
-0.045,3.648
-0.04,3.65
-0.035,3.652
-0.03,3.654
-0.03,3.656
-0.025,3.658
-0.025,3.66
-0.025,3.662
-0.025,3.664
-0.03,3.666
-0.03,3.668
-0.035,3.67
-0.035,3.672
-0.04,3.674
-0.04,3.676
-0.045,3.678
-0.045,3.68
-0.05,3.682
-0.05,3.684
-0.055,3.686
-0.06,3.688
-0.06,3.69
-0.06,3.692
-0.06,3.694
-0.055,3.696
-0.05,3.698
-0.045,3.7
-0.04,3.702
-0.035,3.704
-0.035,3.706
-0.035,3.708
-0.04,3.71
-0.045,3.712
-0.055,3.714
-0.06,3.716
-0.07,3.718
-0.07,3.72
-0.075,3.722
-0.075,3.724
-0.07,3.726
-0.07,3.728
-0.065,3.73
-0.065,3.732
-0.065,3.734
-0.065,3.736
-0.07,3.738
-0.07,3.74
-0.075,3.742
-0.075,3.744
-0.075,3.746
-0.07,3.748
-0.07,3.75
-0.065,3.752
-0.06,3.754
-0.055,3.756
-0.055,3.758
-0.05,3.76
-0.05,3.762
-0.05,3.764
-0.05,3.766
-0.05,3.768
-0.05,3.77
-0.055,3.772
-0.055,3.774
-0.06,3.776
-0.065,3.778
-0.07,3.78
-0.075,3.782
-0.075,3.784
-0.08,3.786
-0.08,3.788
-0.075,3.79
-0.07,3.792
-0.065,3.794
-0.06,3.796
-0.055,3.798
-0.055,3.8
-0.055,3.802
-0.06,3.804
-0.065,3.806
-0.065,3.808
-0.07,3.81
-0.075,3.812
-0.08,3.814
-0.085,3.816
-0.085,3.818
-0.09,3.82
-0.09,3.822
-0.09,3.824
-0.09,3.826
-0.09,3.828
-0.09,3.83
-0.085,3.832
-0.085,3.834
-0.08,3.836
-0.08,3.838
-0.075,3.84
-0.07,3.842
-0.07,3.844
-0.065,3.846
-0.065,3.848
-0.065,3.85
-0.065,3.852
-0.065,3.854
-0.07,3.856
-0.07,3.858
-0.075,3.86
-0.075,3.862
-0.075,3.864
-0.07,3.866
-0.07,3.868
-0.065,3.87
-0.06,3.872
-0.055,3.874
-0.045,3.876
-0.04,3.878
-0.035,3.88
-0.035,3.882
-0.03,3.884
-0.025,3.886
-0.02,3.888
-0.015,3.89
-0.01,3.892
0,3.894
0.005,3.896
0.01,3.898
0.015,3.9
0.02,3.902
0.02,3.904
0.025,3.906
0.025,3.908
0.03,3.91
0.03,3.912
0.035,3.914
0.04,3.916
0.045,3.918
0.045,3.92
0.05,3.922
0.055,3.924
0.06,3.926
0.06,3.928
0.06,3.93
0.06,3.932
0.06,3.934
0.06,3.936
0.06,3.938
0.065,3.94
0.065,3.942
0.07,3.944
0.075,3.946
0.08,3.948
0.085,3.95
0.09,3.952
0.09,3.954
0.095,3.956
0.1,3.958
0.105,3.96
0.11,3.962
0.11,3.964
0.115,3.966
0.115,3.968
0.115,3.97
0.115,3.972
0.115,3.974
0.115,3.976
0.11,3.978
0.105,3.98
0.1,3.982
0.1,3.984
0.1,3.986
0.095,3.988
0.095,3.99
0.095,3.992
0.095,3.994
0.095,3.996
0.095,3.998
0.09,4
0.085,4.002
0.085,4.004
0.08,4.006
0.075,4.008
0.075,4.01
0.075,4.012
0.07,4.014
0.07,4.016
0.065,4.018
0.06,4.02
0.055,4.022
0.05,4.024
0.045,4.026
0.04,4.028
0.04,4.03
0.035,4.032
0.035,4.034
0.04,4.036
0.04,4.038
0.035,4.04
0.035,4.042
0.03,4.044
0.025,4.046
0.02,4.048
0.015,4.05
0.01,4.052
0.01,4.054
0.01,4.056
0.015,4.058
0.02,4.06
0.025,4.062
0.03,4.064
0.035,4.066
0.04,4.068
0.04,4.07
0.04,4.072
0.035,4.074
0.03,4.076
0.025,4.078
0.02,4.08
0.015,4.082
0.015,4.084
0.015,4.086
0.015,4.088
0.015,4.09
0.015,4.092
0.015,4.094
0.01,4.096
0.005,4.098
-0.005,4.1
-0.01,4.102
-0.015,4.104
-0.015,4.106
-0.005,4.108
0.015,4.11
0.045,4.112
0.09,4.114
0.145,4.116
0.21,4.118
0.285,4.12
0.365,4.122
0.445,4.124
0.52,4.126
0.585,4.128
0.63,4.13
0.655,4.132
0.655,4.134
0.63,4.136
0.57,4.138
0.49,4.14
0.39,4.142
0.28,4.144
0.165,4.146
0.065,4.148
-0.015,4.15
-0.075,4.152
-0.105,4.154
-0.115,4.156
-0.1,4.158
-0.08,4.16
-0.05,4.162
-0.02,4.164
0.005,4.166
0.02,4.168
0.03,4.17
0.03,4.172
0.03,4.174
0.03,4.176
0.03,4.178
0.03,4.18
0.035,4.182
0.04,4.184
0.04,4.186
0.04,4.188
0.04,4.19
0.035,4.192
0.03,4.194
0.025,4.196
0.02,4.198
0.015,4.2
0.015,4.202
0.015,4.204
0.015,4.206
0.02,4.208
0.02,4.21
0.025,4.212
0.025,4.214
0.025,4.216
0.03,4.218
0.03,4.22
0.025,4.222
0.025,4.224
0.025,4.226
0.025,4.228
0.025,4.23
0.025,4.232
0.025,4.234
0.03,4.236
0.03,4.238
0.03,4.24
0.03,4.242
0.03,4.244
0.03,4.246
0.03,4.248
0.03,4.25
0.03,4.252
0.035,4.254
0.035,4.256
0.04,4.258
0.045,4.26
0.05,4.262
0.055,4.264
0.06,4.266
0.065,4.268
0.065,4.27
0.07,4.272
0.065,4.274
0.065,4.276
0.06,4.278
0.055,4.28
0.05,4.282
0.05,4.284
0.05,4.286
0.05,4.288
0.055,4.29
0.055,4.292
0.06,4.294
0.065,4.296
0.07,4.298
0.075,4.3
0.08,4.302
0.085,4.304
0.095,4.306
0.1,4.308
0.11,4.31
0.12,4.312
0.125,4.314
0.13,4.316
0.135,4.318
0.14,4.32
0.14,4.322
0.14,4.324
0.145,4.326
0.145,4.328
0.15,4.33
0.155,4.332
0.165,4.334
0.17,4.336
0.18,4.338
0.185,4.34
0.19,4.342
0.19,4.344
0.19,4.346
0.19,4.348
0.19,4.35
0.185,4.352
0.185,4.354
0.185,4.356
0.185,4.358
0.19,4.36
0.195,4.362
0.195,4.364
0.195,4.366
0.195,4.368
0.19,4.37
0.19,4.372
0.18,4.374
0.175,4.376
0.165,4.378
0.155,4.38
0.145,4.382
0.135,4.384
0.125,4.386
0.11,4.388
0.1,4.39
0.09,4.392
0.075,4.394
0.06,4.396
0.05,4.398
0.04,4.4
0.03,4.402
0.02,4.404
0.01,4.406
0.005,4.408
0,4.41
-0.01,4.412
-0.015,4.414
-0.02,4.416
-0.025,4.418
-0.03,4.42
-0.04,4.422
-0.045,4.424
-0.05,4.426
-0.055,4.428
-0.055,4.43
-0.06,4.432
-0.06,4.434
-0.065,4.436
-0.065,4.438
-0.07,4.44
-0.08,4.442
-0.085,4.444
-0.095,4.446
-0.1,4.448
-0.105,4.45
-0.11,4.452
-0.11,4.454
-0.11,4.456
-0.11,4.458
-0.105,4.46
-0.105,4.462
-0.1,4.464
-0.1,4.466
-0.1,4.468
-0.1,4.47
-0.105,4.472
-0.105,4.474
-0.105,4.476
-0.105,4.478
-0.105,4.48
-0.105,4.482
-0.105,4.484
-0.105,4.486
-0.11,4.488
-0.11,4.49
-0.115,4.492
-0.115,4.494
-0.115,4.496
-0.12,4.498
-0.12,4.5
-0.115,4.502
-0.115,4.504
-0.11,4.506
-0.11,4.508
-0.105,4.51
-0.105,4.512
-0.105,4.514
-0.105,4.516
-0.105,4.518
-0.105,4.52
-0.11,4.522
-0.11,4.524
-0.11,4.526
-0.11,4.528
-0.105,4.53
-0.105,4.532
-0.1,4.534
-0.095,4.536
-0.095,4.538
-0.09,4.54
-0.09,4.542
-0.09,4.544
-0.095,4.546
-0.1,4.548
-0.1,4.55
-0.105,4.552
-0.105,4.554
-0.105,4.556
-0.105,4.558
-0.1,4.56
-0.09,4.562
-0.085,4.564
-0.08,4.566
-0.075,4.568
-0.07,4.57
-0.07,4.572
-0.075,4.574
-0.08,4.576
-0.085,4.578
-0.09,4.58
-0.095,4.582
-0.095,4.584
-0.095,4.586
-0.09,4.588
-0.09,4.59
-0.085,4.592
-0.085,4.594
-0.085,4.596
-0.085,4.598
-0.085,4.6
-0.09,4.602
-0.09,4.604
-0.09,4.606
-0.09,4.608
-0.09,4.61
-0.085,4.612
-0.08,4.614
-0.08,4.616
-0.08,4.618
-0.08,4.62
-0.085,4.622
-0.09,4.624
-0.095,4.626
-0.1,4.628
-0.1,4.63
-0.105,4.632
-0.105,4.634
-0.11,4.636
-0.105,4.638
-0.105,4.64
-0.105,4.642
-0.105,4.644
-0.1,4.646
-0.1,4.648
-0.095,4.65
-0.095,4.652
-0.095,4.654
-0.095,4.656
-0.095,4.658
-0.1,4.66
-0.1,4.662
-0.105,4.664
-0.105,4.666
-0.105,4.668
-0.11,4.67
-0.11,4.672
-0.11,4.674
-0.11,4.676
-0.11,4.678
-0.115,4.68
-0.115,4.682
-0.115,4.684
-0.12,4.686
-0.12,4.688
-0.12,4.69
-0.115,4.692
-0.11,4.694
-0.105,4.696
-0.1,4.698
-0.095,4.7
-0.09,4.702
-0.09,4.704
-0.09,4.706
-0.09,4.708
-0.095,4.71
-0.1,4.712
-0.105,4.714
-0.105,4.716
-0.11,4.718
-0.11,4.72
-0.105,4.722
-0.105,4.724
-0.1,4.726
-0.095,4.728
-0.095,4.73
-0.09,4.732
-0.09,4.734
-0.09,4.736
-0.095,4.738
-0.095,4.74
-0.1,4.742
-0.105,4.744
-0.11,4.746
-0.11,4.748
-0.115,4.75
-0.11,4.752
-0.11,4.754
-0.105,4.756
-0.1,4.758
-0.095,4.76
-0.09,4.762
-0.085,4.764
-0.085,4.766
-0.09,4.768
-0.095,4.77
-0.105,4.772
-0.11,4.774
-0.115,4.776
-0.12,4.778
-0.125,4.78
-0.12,4.782
-0.115,4.784
-0.11,4.786
-0.105,4.788
-0.095,4.79
-0.09,4.792
-0.085,4.794
-0.085,4.796
-0.085,4.798
-0.085,4.8
-0.09,4.802
-0.09,4.804
-0.095,4.806
-0.095,4.808
-0.095,4.81
-0.095,4.812
-0.095,4.814
-0.095,4.816
-0.09,4.818
-0.09,4.82
-0.09,4.822
-0.09,4.824
-0.09,4.826
-0.09,4.828
-0.09,4.83
-0.095,4.832
-0.095,4.834
-0.095,4.836
-0.1,4.838
-0.1,4.84
-0.1,4.842
-0.1,4.844
-0.095,4.846
-0.09,4.848
-0.085,4.85
-0.08,4.852
-0.075,4.854
-0.065,4.856
-0.06,4.858
-0.06,4.86
-0.055,4.862
-0.055,4.864
-0.055,4.866
-0.055,4.868
-0.055,4.87
-0.055,4.872
-0.05,4.874
-0.05,4.876
-0.05,4.878
-0.045,4.88
-0.04,4.882
-0.035,4.884
-0.035,4.886
-0.03,4.888
-0.025,4.89
-0.025,4.892
-0.025,4.894
-0.025,4.896
-0.025,4.898
-0.03,4.9
-0.03,4.902
-0.035,4.904
-0.04,4.906
-0.04,4.908
-0.045,4.91
-0.045,4.912
-0.05,4.914
-0.05,4.916
-0.055,4.918
-0.06,4.92
-0.06,4.922
-0.065,4.924
-0.07,4.926
-0.07,4.928
-0.075,4.93
-0.075,4.932
-0.075,4.934
-0.075,4.936
-0.08,4.938
-0.08,4.94
-0.08,4.942
-0.08,4.944
-0.085,4.946
-0.09,4.948
-0.09,4.95
-0.095,4.952
-0.1,4.954
-0.1,4.956
-0.105,4.958
-0.105,4.96
-0.105,4.962
-0.105,4.964
-0.105,4.966
-0.105,4.968
-0.105,4.97
-0.1,4.972
-0.1,4.974
-0.1,4.976
-0.1,4.978
-0.1,4.98
-0.095,4.982
-0.095,4.984
-0.09,4.986
-0.085,4.988
-0.085,4.99
-0.085,4.992
-0.085,4.994
-0.085,4.996
-0.085,4.998
-0.09,5
-0.095,5.002
-0.095,5.004
-0.1,5.006
-0.1,5.008
-0.105,5.01
-0.105,5.012
-0.11,5.014
-0.115,5.016
-0.115,5.018
-0.12,5.02
-0.115,5.022
-0.11,5.024
-0.09,5.026
-0.065,5.028
-0.02,5.03
0.03,5.032
0.1,5.034
0.175,5.036
0.26,5.038
0.35,5.04
0.435,5.042
0.51,5.044
0.57,5.046
0.605,5.048
0.61,5.05
0.59,5.052
0.54,5.054
0.465,5.056
0.365,5.058
0.26,5.06
0.15,5.062
0.045,5.064
-0.04,5.066
-0.105,5.068
-0.145,5.07
-0.165,5.072
-0.165,5.074
-0.15,5.076
-0.135,5.078
-0.115,5.08
-0.095,5.082
-0.085,5.084
-0.075,5.086
-0.075,5.088
-0.075,5.09
-0.075,5.092
-0.07,5.094
-0.07,5.096
-0.065,5.098
-0.06,5.1
-0.055,5.102
-0.05,5.104
-0.05,5.106
-0.05,5.108
-0.05,5.11
-0.05,5.112
-0.05,5.114
-0.05,5.116
-0.045,5.118
-0.045,5.12
-0.045,5.122
-0.045,5.124
-0.045,5.126
-0.045,5.128
-0.045,5.13
-0.045,5.132
-0.04,5.134
-0.04,5.136
-0.035,5.138
-0.035,5.14
-0.03,5.142
-0.03,5.144
-0.03,5.146
-0.03,5.148
-0.03,5.15
-0.03,5.152
-0.03,5.154
-0.03,5.156
-0.03,5.158
-0.025,5.16
-0.02,5.162
-0.015,5.164
-0.01,5.166
-0.005,5.168
-0.005,5.17
0,5.172
0,5.174
0,5.176
0,5.178
0,5.18
0,5.182
0,5.184
0,5.186
0.005,5.188
0.005,5.19
0.01,5.192
0.015,5.194
0.015,5.196
0.02,5.198
0.02,5.2
0.02,5.202
0.025,5.204
0.025,5.206
0.025,5.208
0.025,5.21
0.03,5.212
0.035,5.214
0.04,5.216
0.045,5.218
0.05,5.22
0.055,5.222
0.06,5.224
0.065,5.226
0.07,5.228
0.075,5.23
0.08,5.232
0.085,5.234
0.09,5.236
0.095,5.238
0.1,5.24
0.105,5.242
0.115,5.244
0.12,5.246
0.13,5.248
0.135,5.25
0.145,5.252
0.15,5.254
0.16,5.256
0.165,5.258
0.17,5.26
0.175,5.262
0.175,5.264
0.18,5.266
0.185,5.268
0.185,5.27
0.185,5.272
0.185,5.274
0.185,5.276
0.185,5.278
0.185,5.28
0.185,5.282
0.185,5.284
0.185,5.286
0.185,5.288
0.18,5.29
0.18,5.292
0.18,5.294
0.175,5.296
0.17,5.298
0.165,5.3
0.155,5.302
0.145,5.304
0.135,5.306
0.125,5.308
0.115,5.31
0.105,5.312
0.1,5.314
0.09,5.316
0.08,5.318
0.07,5.32
0.06,5.322
0.05,5.324
0.035,5.326
0.025,5.328
0.015,5.33
0.005,5.332
0,5.334
-0.005,5.336
-0.005,5.338
-0.005,5.34
-0.005,5.342
-0.005,5.344
-0.005,5.346
-0.01,5.348
-0.015,5.35
-0.015,5.352
-0.02,5.354
-0.025,5.356
-0.03,5.358
-0.035,5.36
-0.035,5.362
-0.035,5.364
-0.035,5.366
-0.03,5.368
-0.03,5.37
-0.025,5.372
-0.025,5.374
-0.025,5.376
-0.025,5.378
-0.03,5.38
-0.035,5.382
-0.04,5.384
-0.045,5.386
-0.05,5.388
-0.055,5.39
-0.06,5.392
-0.065,5.394
-0.065,5.396
-0.06,5.398
-0.06,5.4
-0.055,5.402
-0.05,5.404
-0.05,5.406
-0.045,5.408
-0.04,5.41
-0.04,5.412
-0.035,5.414
-0.035,5.416
-0.03,5.418
-0.03,5.42
-0.03,5.422
-0.03,5.424
-0.03,5.426
-0.035,5.428
-0.035,5.43
-0.04,5.432
-0.04,5.434
-0.04,5.436
-0.04,5.438
-0.035,5.44
-0.035,5.442
-0.03,5.444
-0.025,5.446
-0.02,5.448
-0.015,5.45
-0.015,5.452
-0.015,5.454
-0.01,5.456
-0.01,5.458
-0.01,5.46
-0.01,5.462
-0.01,5.464
-0.01,5.466
-0.01,5.468
-0.01,5.47
-0.01,5.472
-0.015,5.474
-0.02,5.476
-0.02,5.478
-0.025,5.48
-0.025,5.482
-0.03,5.484
-0.03,5.486
-0.025,5.488
-0.025,5.49
-0.025,5.492
-0.025,5.494
-0.025,5.496
-0.025,5.498
-0.025,5.5
-0.03,5.502
-0.03,5.504
-0.035,5.506
-0.035,5.508
-0.035,5.51
-0.035,5.512
-0.035,5.514
-0.03,5.516
-0.025,5.518
-0.02,5.52
-0.02,5.522
-0.015,5.524
-0.015,5.526
-0.015,5.528
-0.015,5.53
-0.015,5.532
-0.015,5.534
-0.02,5.536
-0.02,5.538
-0.025,5.54
-0.025,5.542
-0.03,5.544
-0.03,5.546
-0.03,5.548
-0.035,5.55
-0.035,5.552
-0.04,5.554
-0.04,5.556
-0.04,5.558
-0.04,5.56
-0.04,5.562
-0.04,5.564
-0.04,5.566
-0.035,5.568
-0.035,5.57
-0.03,5.572
-0.03,5.574
-0.03,5.576
-0.03,5.578
-0.03,5.58
-0.035,5.582
-0.04,5.584
-0.04,5.586
-0.045,5.588
-0.045,5.59
-0.045,5.592
-0.04,5.594
-0.04,5.596
-0.035,5.598
-0.035,5.6
-0.035,5.602
-0.04,5.604
-0.045,5.606
-0.055,5.608
-0.06,5.61
-0.065,5.612
-0.065,5.614
-0.065,5.616
-0.065,5.618
-0.06,5.62
-0.055,5.622
-0.05,5.624
-0.045,5.626
-0.045,5.628
-0.045,5.63
-0.045,5.632
-0.045,5.634
-0.045,5.636
-0.05,5.638
-0.05,5.64
-0.05,5.642
-0.05,5.644
-0.05,5.646
-0.05,5.648
-0.05,5.65
-0.05,5.652
-0.05,5.654
-0.05,5.656
-0.05,5.658
-0.055,5.66
-0.055,5.662
-0.055,5.664
-0.055,5.666
-0.055,5.668
-0.055,5.67
-0.055,5.672
-0.055,5.674
-0.055,5.676
-0.05,5.678
-0.05,5.68
-0.045,5.682
-0.045,5.684
-0.045,5.686
-0.045,5.688
-0.05,5.69
-0.05,5.692
-0.055,5.694
-0.055,5.696
-0.06,5.698
-0.06,5.7
-0.06,5.702
-0.06,5.704
-0.06,5.706
-0.065,5.708
-0.065,5.71
-0.065,5.712
-0.07,5.714
-0.07,5.716
-0.07,5.718
-0.075,5.72
-0.07,5.722
-0.07,5.724
-0.065,5.726
-0.06,5.728
-0.06,5.73
-0.055,5.732
-0.055,5.734
-0.06,5.736
-0.06,5.738
-0.065,5.74
-0.075,5.742
-0.08,5.744
-0.085,5.746
-0.09,5.748
-0.09,5.75
-0.085,5.752
-0.08,5.754
-0.075,5.756
-0.07,5.758
-0.065,5.76
-0.06,5.762
-0.06,5.764
-0.065,5.766
-0.065,5.768
-0.07,5.77
-0.07,5.772
-0.07,5.774
-0.07,5.776
-0.07,5.778
-0.065,5.78
-0.06,5.782
-0.055,5.784
-0.055,5.786
-0.055,5.788
-0.055,5.79
-0.055,5.792
-0.05,5.794
-0.05,5.796
-0.05,5.798
-0.045,5.8
-0.04,5.802
-0.035,5.804
-0.03,5.806
-0.025,5.808
-0.02,5.81
-0.02,5.812
-0.02,5.814
-0.02,5.816
-0.02,5.818
-0.02,5.82
-0.015,5.822
-0.005,5.824
0,5.826
0.015,5.828
0.025,5.83
0.035,5.832
0.045,5.834
0.055,5.836
0.065,5.838
0.07,5.84
0.075,5.842
0.08,5.844
0.085,5.846
0.09,5.848
0.09,5.85
0.095,5.852
0.1,5.854
0.1,5.856
0.1,5.858
0.1,5.86
0.095,5.862
0.09,5.864
0.085,5.866
0.08,5.868
0.075,5.87
0.075,5.872
0.075,5.874
0.075,5.876
0.08,5.878
0.085,5.88
0.085,5.882
0.09,5.884
0.09,5.886
0.09,5.888
0.09,5.89
0.09,5.892
0.09,5.894
0.085,5.896
0.085,5.898
0.085,5.9
0.085,5.902
0.08,5.904
0.08,5.906
0.08,5.908
0.075,5.91
0.075,5.912
0.07,5.914
0.07,5.916
0.07,5.918
0.07,5.92
0.07,5.922
0.07,5.924
0.07,5.926
0.07,5.928
0.07,5.93
0.07,5.932
0.065,5.934
0.065,5.936
0.06,5.938
0.055,5.94
0.055,5.942
0.05,5.944
0.045,5.946
0.04,5.948
0.035,5.95
0.03,5.952
0.03,5.954
0.03,5.956
0.04,5.958
0.06,5.96
0.085,5.962
0.13,5.964
0.18,5.966
0.25,5.968
0.325,5.97
0.415,5.972
0.505,5.974
0.595,5.976
0.675,5.978
0.74,5.98
0.78,5.982
0.795,5.984
0.775,5.986
0.725,5.988
0.645,5.99
0.545,5.992
0.43,5.994
0.31,5.996
0.195,5.998
0.1,6
0.03,6.002
-0.015,6.004
-0.035,6.006
-0.03,6.008
-0.015,6.01
0.01,6.012
0.035,6.014
0.06,6.016
0.075,6.018
0.085,6.02
0.085,6.022
0.085,6.024
0.085,6.026
0.08,6.028
0.08,6.03
0.085,6.032
0.085,6.034
0.085,6.036
0.09,6.038
0.085,6.04
0.085,6.042
0.08,6.044
0.075,6.046
0.075,6.048
0.07,6.05
0.065,6.052
0.065,6.054
0.065,6.056
0.065,6.058
0.06,6.06
0.06,6.062
0.06,6.064
0.06,6.066
0.06,6.068
0.06,6.07
0.065,6.072
0.065,6.074
0.07,6.076
0.07,6.078
0.075,6.08
0.075,6.082
0.075,6.084
0.075,6.086
0.075,6.088
0.075,6.09
0.075,6.092
0.075,6.094
0.075,6.096
0.08,6.098
0.085,6.1
0.09,6.102
0.095,6.104
0.1,6.106
0.105,6.108
0.105,6.11
0.105,6.112
0.105,6.114
0.105,6.116
0.105,6.118
0.105,6.12
0.105,6.122
0.105,6.124
0.11,6.126
0.11,6.128
0.115,6.13
0.12,6.132
0.12,6.134
0.12,6.136
0.12,6.138
0.12,6.14
0.12,6.142
0.12,6.144
0.12,6.146
0.12,6.148
0.12,6.15
0.125,6.152
0.13,6.154
0.14,6.156
0.145,6.158
0.15,6.16
0.16,6.162
0.165,6.164
0.17,6.166
0.175,6.168
0.185,6.17
0.19,6.172
0.2,6.174
0.205,6.176
0.215,6.178
0.22,6.18
0.23,6.182
0.235,6.184
0.24,6.186
0.245,6.188
0.25,6.19
0.255,6.192
0.255,6.194
0.26,6.196
0.26,6.198
0.265,6.2
0.27,6.202
0.27,6.204
0.275,6.206
0.275,6.208
0.28,6.21
0.28,6.212
0.285,6.214
0.285,6.216
0.285,6.218
0.285,6.22
0.28,6.222
0.275,6.224
0.27,6.226
0.26,6.228
0.245,6.23
0.235,6.232
0.22,6.234
0.21,6.236
0.195,6.238
0.185,6.24
0.175,6.242
0.165,6.244
0.15,6.246
0.14,6.248
0.125,6.25
0.11,6.252
0.095,6.254
0.085,6.256
0.07,6.258
0.065,6.26
0.055,6.262
0.05,6.264
0.045,6.266
0.04,6.268
0.035,6.27
0.025,6.272
0.015,6.274
0.005,6.276
-0.01,6.278
-0.02,6.28
-0.03,6.282
-0.035,6.284
-0.04,6.286
-0.045,6.288
-0.045,6.29
-0.045,6.292
-0.04,6.294
-0.045,6.296
-0.045,6.298
-0.045,6.3
-0.05,6.302
-0.055,6.304
-0.06,6.306
-0.06,6.308
-0.06,6.31
-0.06,6.312
-0.06,6.314
-0.06,6.316
-0.06,6.318
-0.06,6.32
-0.065,6.322
-0.07,6.324
-0.07,6.326
-0.075,6.328
-0.08,6.33
-0.08,6.332
-0.08,6.334
-0.08,6.336
-0.08,6.338
-0.075,6.34
-0.075,6.342
-0.07,6.344
-0.07,6.346
-0.07,6.348
-0.07,6.35
-0.075,6.352
-0.075,6.354
-0.075,6.356
-0.075,6.358
-0.075,6.36
-0.075,6.362
-0.075,6.364
-0.075,6.366
-0.08,6.368
-0.085,6.37
-0.085,6.372
-0.09,6.374
-0.095,6.376
-0.095,6.378
-0.1,6.38
-0.095,6.382
-0.095,6.384
-0.09,6.386
-0.09,6.388
-0.085,6.39
-0.085,6.392
-0.085,6.394
-0.085,6.396
-0.085,6.398
-0.08,6.4
-0.08,6.402
-0.08,6.404
-0.075,6.406
-0.075,6.408
-0.075,6.41
-0.07,6.412
-0.07,6.414
-0.075,6.416
-0.075,6.418
-0.08,6.42
-0.085,6.422
-0.09,6.424
-0.09,6.426
-0.095,6.428
-0.095,6.43
-0.095,6.432
-0.095,6.434
-0.09,6.436
-0.09,6.438
-0.085,6.44
-0.085,6.442
-0.085,6.444
-0.085,6.446
-0.09,6.448
-0.095,6.45
-0.1,6.452
-0.105,6.454
-0.11,6.456
-0.11,6.458
-0.115,6.46
-0.115,6.462
-0.115,6.464
-0.11,6.466
-0.11,6.468
-0.105,6.47
-0.1,6.472
-0.1,6.474
-0.095,6.476
-0.095,6.478
-0.095,6.48
-0.1,6.482
-0.1,6.484
-0.1,6.486
-0.1,6.488
-0.1,6.49
-0.1,6.492
-0.1,6.494
-0.1,6.496
-0.1,6.498
-0.105,6.5
-0.105,6.502
-0.11,6.504
-0.115,6.506
-0.12,6.508
-0.125,6.51
-0.13,6.512
-0.13,6.514
-0.13,6.516
-0.135,6.518
